index,CITY,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
0,"BIRMINGHAM,AL",81,83,89,92,99,106,107,105,102,94,85,80,107
1,"HUNTSVILLE,AL",77,83,88,92,96,106,105,105,101,91,84,79,106
2,"MOBILE,AL",84,84,89,94,100,103,104,105,99,93,87,81,105
3,"MONTGOMERY,AL",83,85,89,94,98,105,105,106,101,100,88,85,106
4,"ANCHORAGE,AK",50,49,51,69,77,85,84,82,73,64,54,48,85
5,"ANNETTE,AK",61,65,64,82,88,93,90,90,82,71,67,62,93
6,"BARROW,AK",36,36,34,42,47,72,79,76,62,43,39,34,79
7,"BETHEL,AK",49,51,53,63,80,90,86,87,76,65,60,49,90
8,"BETTLES,AK",42,40,49,66,86,92,93,88,79,57,45,38,93
9,"BIG DELTA,AK",54,51,58,72,90,92,91,90,79,74,52,55,92
10,"COLD BAY,AK",51,50,56,58,68,72,77,75,70,69,59,54,77
11,"FAIRBANKS,AK",52,50,56,76,90,96,94,93,84,72,54,58,96
12,"GULKANA,AK",52,46,53,70,85,90,97,88,76,69,48,49,97
13,"HOMER,AK",57,53,54,65,71,80,81,78,69,64,58,52,81
14,"JUNEAU,AK",60,57,61,74,80,86,90,84,78,61,56,54,90
15,"KING SALMON,AK",53,57,56,69,85,88,86,84,74,67,56,54,88
16,"KODIAK,AK",54,56,57,69,80,86,82,83,73,62,59,56,86
17,"KOTZEBUE,AK",40,40,41,48,74,85,85,80,69,57,40,37,85
18,"MCGRATH,AK",54,55,55,68,86,94,89,89,76,67,50,49,94
19,"NOME,AK",51,48,44,60,78,86,86,83,71,59,50,43,86
20,"ST. PAUL ISLAND,AK",44,42,50,49,59,62,65,66,61,53,48,44,66
21,"TALKEETNA,AK",47,52,55,77,87,96,90,89,78,68,52,49,96
22,"VALDEZ,AK",55,59,57,69,79,90,85,83,74,69,59,54,90
23,"YAKUTAT,AK",58,56,59,71,80,87,85,84,77,63,59,52,87
24,"FLAGSTAFF,AZ",66,71,73,83,93,96,99,95,90,85,74,68,99
25,"PHOENIX,AZ",88,92,100,105,113,122,121,117,118,107,96,88,122
26,"TUCSON,AZ",87,92,99,104,109,117,114,112,107,102,93,84,117
27,"WINSLOW,AZ",75,83,87,94,103,107,109,104,99,93,82,74,109
28,"FORT SMITH,AR",81,86,94,96,98,106,111,115,109,96,86,82,115
29,"LITTLE ROCK,AR",83,85,91,95,98,107,112,114,106,98,86,81,114
30,"BAKERSFIELD,CA",82,87,94,101,107,114,115,112,112,103,94,83,115
31,"BISHOP,CA",77,81,87,93,102,109,110,107,106,97,89,81,110
32,"BLUE CANYON,CA",76,73,72,82,88,92,95,97,93,88,78,75,97
33,"FRESNO,CA",78,80,91,100,107,110,113,112,111,102,90,77,113
34,"LONG BEACH,CA",93,91,98,105,104,109,107,105,111,111,101,92,111
35,"LOS ANGELES,CA",95,95,98,106,102,112,107,105,113,108,100,92,113
36,"REDDING,CA",80,83,88,96,106,117,118,115,116,105,88,78,118
37,"SACRAMENTO,CA",76,76,88,95,,115,114,110,108,104,87,73,115
38,"SAN DIEGO,CA",88,90,93,98,,101,99,98,111,107,100,88,111
39,"SAN FRANCISCO,CA",79,81,87,94,,103,95,98,101,102,86,76,103
40,"SANTA BARBARA,CA",86,86,94,96,,98,97,98,103,103,97,89,103
41,"SANTA MARIA,CA",89,89,95,103,,96,95,99,105,108,96,90,108
42,"STOCKTON,CA",75,78,87,100,,111,115,109,108,101,85,73,115
43,"ALAMOSA,CO",62,66,76,80,,95,96,91,87,81,71,62,96
44,"COLORADO SPRINGS,CO",73,76,81,87,,101,100,99,94,87,78,77,101
45,"DENVER,CO",74,76,84,90,,104,104,102,97,89,81,75,104
46,"GRAND JUNCTION,CO",62,70,81,89,,105,106,103,100,88,76,66,106
47,"PUEBLO,CO",81,81,86,93,,108,109,105,101,94,85,82,109
48,"BRIDGEPORT,CT",68,67,84,91,,97,103,100,99,89,78,76,103
49,"HARTFORD,CT",72,73,89,96,,101,103,102,101,91,83,76,103
50,"WILMINGTON,DE",75,78,86,94,,100,103,101,100,91,85,75,103
51,"WASHINGTON DULLES,DC",75,79,89,93,,102,105,104,99,94,84,79,105
52,"WASHINGTON NAT'L,DC",79,82,89,95,,104,105,105,101,94,86,79,105
53,"DAYTONA BEACH,FL",92,89,92,96,,102,102,101,99,95,90,88,102
54,"FORT MYERS,FL",88,92,94,96,,103,101,100,98,95,95,90,103
55,"GAINESVILLE,FL",84,88,90,96,,103,99,100,97,93,91,85,103
56,"JACKSONVILLE,FL",85,88,91,95,,103,105,102,100,96,89,85,105
57,"KEY WEST,FL",86,85,88,90,,94,95,95,95,93,89,88,95
58,"MIAMI,FL",88,89,93,96,,98,98,98,97,95,91,89,98
59,"ORLANDO,FL",87,89,92,95,,100,101,100,98,95,91,90,101
60,"PENSACOLA,FL",81,82,87,96,,102,106,104,98,95,87,81,106
61,"TALLAHASSEE,FL",83,89,91,95,,105,103,103,99,94,89,84,105
62,"TAMPA,FL",86,88,91,93,,99,98,98,96,95,92,86,99
63,"VERO BEACH,FL",88,89,93,95,,102,99,98,97,94,92,87,102
64,"WEST PALM BEACH,FL",89,90,95,99,,98,101,99,96,95,91,90,101
65,"ATHENS,GA",80,81,89,93,,109,108,107,99,98,86,79,109
